Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
18/09/26,FC Bayern München - 1. FC Union Berlin,O/U 4.5 Over,1.271,1.89,48.67,7-0,G,1,10.0,8.9,
19/09/26,Hamburger SV - 1. FC Köln,1X2 Gelijkspel,3.509,3.75,6.87,2-1,F,0,5.0,-5.0,
19/09/26,Hamburger SV - 1. FC Köln,O/U 2.5 Under,2.039,2.42,18.69,2-1,F,0,7.5,-7.5,
19/09/26,Borussia Mönchengladbach - 1. FSV Mainz 05,1X2 1. FSV Mainz 05,1.565,2.32,48.28,2-3,G,1,10.0,13.2,
19/09/26,Borussia Mönchengladbach - 1. FSV Mainz 05,O/U 3.5 Over,1.927,2.34,21.47,2-3,G,1,7.5,10.05,
19/09/26,SV Werder Bremen - FC Augsburg,1X2 FC Augsburg,2.356,2.91,23.51,2-2,G,1,5.0,9.55,
19/09/26,SV Werder Bremen - FC Augsburg,O/U 3.5 Over,1.989,2.25,13.15,2-2,G,1,7.5,9.38,
19/09/26,Eintracht Frankfurt - SC Freiburg,1X2 Eintracht Frankfurt,2.063,2.43,17.79,2-2,F,0,7.5,-7.5,
18/09/26,FC Groningen - PEC Zwolle,O/U 3.5 Under,1.521,1.74,14.39,3-0,G,1,12.5,9.25,
16/09/26,Club Atlético de Madrid - CA Osasuna,1X2 Club Atlético de Madrid,1.211,1.42,17.27,4-0,G,1,20.0,8.4,
16/09/26,Club Atlético de Madrid - CA Osasuna,O/U 2.5 Over,1.451,1.78,22.65,4-0,G,1,15.0,11.7,
17/09/26,Real Betis Balompié - Getafe CF,1X2 Real Betis Balompié,1.361,1.72,26.39,1-0,G,1,15.0,10.8,
17/09/26,Real Betis Balompié - Getafe CF,O/U 2.5 Under,1.379,1.74,26.16,1-0,G,1,12.5,9.25,
18/09/26,RCD Espanyol de Barcelona - Elche CF,1X2 RCD Espanyol de Barcelona,1.532,1.88,22.75,1-3,F,0,15.0,-15.0,
18/09/26,RCD Espanyol de Barcelona - Elche CF,O/U 2.5 Under,1.847,2.04,10.45,1-3,F,0,12.5,-12.5,
19/09/26,CA Osasuna - Rayo Vallecano de Madrid,1X2 CA Osasuna,1.749,2.35,34.37,1-1,F,0,7.5,-7.5,
19/09/26,CA Osasuna - Rayo Vallecano de Madrid,O/U 2.5 Under,1.582,1.78,12.5,1-1,G,1,10.0,7.8,
18/09/26,AS Monaco FC - Racing Club de Lens,1X2 AS Monaco FC,1.544,2.08,34.7,2-1,G,1,12.5,13.5,
18/09/26,Brentford FC - Chelsea FC,1X2 Brentford FC,2.543,2.88,13.27,3-0,G,1,5.0,9.4,
18/09/26,Brentford FC - Chelsea FC,O/U 3.5 Over,1.7,2.19,28.84,3-0,F,0,10.0,-10.0,
19/09/26,Tottenham Hotspur FC - Aston Villa FC,1X2 Gelijkspel,3.029,3.68,21.48,2-3,F,0,5.0,-5.0,
19/09/26,Tottenham Hotspur FC - Aston Villa FC,O/U 2.5 Under,1.456,2.11,44.87,2-3,F,0,12.5,-12.5,
18/09/26,AC Monza - US Sassuolo Calcio,1X2 US Sassuolo Calcio,2.103,2.35,11.77,2-1,F,0,5.0,-5.0,
19/09/26,Bologna FC 1909 - Torino FC,1X2 Gelijkspel,3.11,3.58,15.1,1-1,G,1,5.0,12.9,
19/09/26,Bologna FC 1909 - Torino FC,O/U 2.5 Under,1.454,1.8,23.82,1-1,G,1,12.5,10.0,
19/09/26,Udinese Calcio - Cagliari Calcio,1X2 Gelijkspel,2.873,3.38,17.65,0-1,F,0,5.0,-5.0,
19/09/26,Udinese Calcio - Cagliari Calcio,1X2 Cagliari Calcio,2.629,3.5,33.12,0-1,G,1,5.0,12.5,
19/09/26,Udinese Calcio - Cagliari Calcio,O/U 2.5 Under,1.451,1.74,19.95,0-1,G,1,12.5,9.25,
